1,Matt Baguinon, Sa mga nagsasabi na dapat hindi dinadawit ang pangalan ng UPLB sa mga balitang krimen sa Los Ba�os, eto ang tanong para sa inyo.Sa karamihan na nangyaring mga krimen kamakailan lang, masasabi ba talagang walang koneksyon ang UPLB dito maliban sa proksimidad?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ma Divina Gracia Arguelles," sa lahat ng nahihirapan sa stat (i hope it could inspire you):""""It is my first time in teaching (insert stat subject here).I am happy that I have you as my students.Statistics is one of the toughest fields in UPD.But if you accomplished it"," it will be one of your greatest feats.""""P.S. to my prof concealed naman po ikaw dito sa post hehehe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Mary Francis Are�o Marzan," UPVPhilo Debate tungkol sa Cyber crime.Sabi ni classmate:""""Andami na nating laws", kailangan pa bang dagdagan? ano 'to, LOLO (lawlaw)?LOL.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Joffer Punzalan, after ng exam ko kani-kanina lang sa EE Audi (UPLB) , sumakay ako sa jeep dun sa tapat ng building. dun ako umupo sa harap.biglang nagsalita si manong driver ..(NV)Driver: kailan finals niyo?Ako: after pa po ng holy week :/D: bakit ang tagal naman? bakit pagkatapos pa ng holy week? kawawa naman ang mga estudyante, lalo na yung sa mga malalayong lugar nakatira, edi kailangan pa nilang bumalik para sa finals exam nila? bakit ba ayaw baguhin ng gobyerno ang sistemang yan?A: -_-D: karamihan kasi sa gobyerno di nila iniisip yung hirap ng mga estudyante . A: ohhh.. O.OD: konti na nga lang ang pahinga ng mga estudyante. minsan pag bakasyon na, nag-aaral pa rin kayo.A: oo nga po e ....D: gaya ng sa removal exam, saka pa lalabas ang resulta pagkatapos ng darating na sem. dapat kung bagsak, bagsak na! A: (di na lang ako nagsalita , sa loob ko," """"Manong kailangan po namin ang removals", kailangan naming ilaban ang subj namin hanggang huli, hanggat may chance pa)A: para na po..Siguro matagal na si manong na driver sa campus, alam kasi niya yung sitwasyon ng mga estudyante.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Likha Minimo," Isang eksena mula sa aking """"fieldwork"""" (nang ako'y umuwi sa probinsya upang mangalap ng larawan para sa avp sa surprise debut ng aking kapatid): Tanghalian kasama lolo", lola, at mama. Pinag-uusapan noon ang family reunion tapos basta nahiritan ako ni mama, at narinig ni Lolo...Lolo: Oh, bakit may boyfriend na ba yan...Ako: ay wala po. Inaasar lang po ako ni Mama. Crush lang po yun.Lolo: Ay crush ka rin ba ng crush mo?Ako: Ay yan po ang di natin alam. hahaha.Lolo: Ay, siya, ating gagawan ng paraan. Ako: o.OLolo: May e-mail naman yang crush mo di ba?Ako: o.O Ay hala. Lolo. Ilalaglag mo pa ako eh.Lolo: Ala ay hindi, iba ang ating i-e-email. (Tinutukoy ang mga adhikain niya para sa pambansang wika, lahat ng naipapakilala naming kaibigan hihingan nya ng email address para ipadala mga akda nya) Lolo: Ano ga ang pangalan? Di mo naman ipinakikilala eh.Ako: Eh wag na ho. Baka mahanap nyo pa eh. (83 years old na si Lolo pero journalist sya eh, mausisang tunay. Sinabi ko na lang kung taga-saan..hahaha)maya-maya..nagliligpit na kami ng mga plato, Lolo: Yan gang si Mr. <insert hometown>, ay mas matangkad sa'yo?Ako: Ay opo. Aba at talagang may codename na kayo para sa kanya ah...Lolo: Eh hindi mo ipinapakilala eh.Ako: Saka na po pag may ginawa na sya. hahahaha. Saka ko ipapakilala.^_^ angkyutkyut ni Lolo...so supportive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jezereel Louise Billano-Fabreag, Tlgang wla sa dugo ko ang mga numero, at kahit wla tlga akong confidence sa sarili ko, ginapang ko ang buong sem para sa Stat (pre-req kc para makapag thesis the next sem). Note: Take 2 ako sa Math 11 Final exams for Stat, kagagaling namin sa isang magazine shoot para sa isang major subject, naka make up pa ako. Binati ako ni Prof M at sinabing maaring lucky charm ko ang aking makeup. Malaki2 rin ang kelangan kong makuhang score para pumasa. Naluluha na yta ako, di pa ngsisimula ang exam.After the exam, mlalaman agad namin kung pasado kmi or mag Stat 2 next sem.Me: (Binigay ang papel kay prof, sabay walkout, at nakitabi sa mga estudyanteng naghihintay din ng knilang tadhana.. yung iba nakaupo na kasi bagsak na tlga)Prof: (checked the paper, called my name, handed the the exam to me)Me: Wide eyed.. (binalik ang papel kay prof) Maam, hindi po yata akin 'to..Prof: Diba (my surname)? Me: Opo.Prof: Sayo yan..Me: (tiningnan ulit yung score) Sure ka Maam? Hindi po yata tlga akin yan e.Prof: Ayaw mo? Ayaw mo talaga? Sige, wag nlng.Me: Ay joke lang po. (tumambling ang puso ko)PASADO!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Allysa Mae Gargarino," Nagbabasa ako sa """"Overheard"""". At dahil fan ata nung admin yung roommate ko. :)Ako: Kasama sa DP nung admin si Ramon Bautista.Roommate1: Sino kaya ang nagpapicture?Roommate2: Eh di si Ramon Bautista! (with confidence):D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Pearl Grace Marie, Kwentong HappinessMarch 13,2013, 2:35PMNagmamadali ako sa paglalakad papuntang isang hotel na siyang venue ng PE class ko. Nung nasa bandang Jollibee na ako, tinawag ako ng isang ale na nasa late 50's na ata. Kinabahan ako kasi di ko naman siya kakilala.. Biglang sabi," """"Iha"," silong ka dito sa payong ko. Namumula ka na o!"""" . At sinamahan pa talaga niya ako hanggang sa hotel na pupuntahan ko.. :Dtouch naman talaga ako..o ikaw", sinong nagpasaya sa'yo today? :D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Johann Sebastian Claveria, Kanina sa SC, sa may fotoxan (can't remember the name) na maraming pictures ng politicians sa window (NV):Friend K: *looks at picture, tapos natuwa* UY! Nakatingin siya sa'yo, oh! Tapos kung lumipat ka, nakatingin pa rin siya sa'yo! Try mo!Friend J: *nag-try nga, tapos natuwa rin sya* Hahaha oo nga!Friend K: Hahaha!Friend J: Hahahahahaha!At sila'y nagpatuloy sa kanilang pakikipaglaro sa mga litrato habang naghihintay sa pinafotox ni Friend J. They are so primitive. LOLJK. :)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Arlene Gavino, UP Diliman- Infirmarypapacheck-up dahil saobrang sakit ng tumutubong wisdom tooth ko.Dentist: anong problema?Me: masakit po ung ngipin ko.ung tumutubo ko pong ngipin.. wisdom tooth ko po ata.Dentist: aba ilang taon ka na ba?Me: 21 na po. saka hindi rin po ako makalunok ng maayos.patuloy ang pagkalikot sa bunganga ko.Dentist: pabunot mo n yan. Impacted.Me: po? kelan po?Dentist: ngayon na. pila ka mayang 12nn.Me: (agad-agad?)  ayy may class po ako.Dentist: edi bukas. basta walang pila ng wednesday.Me: ahh okay po, salamat po.Wala pa atang 3 mins. na tinignan ung ngipin ko.Naisip ko lang paglabas ko, diba dapat ine-X-ray muna un kasi patubo palang naman.Saka hindi pa pwedeng bunutan kapag namamaga.Ayun, buti nalang may kakilala akong dentist, tinanong ko nalang ulit.Sabi niya hindi pa pwedeng bunutan kasi hindi pa naman lumabas ng tuluyan ung ngipin..huhuhunaloka lang ako sa infirmary, what if nagpabunot na ako agad nung araw na un..goodbye wisdom tooth na ako..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Erik Paolo Capistrano, Hello po! May kaibigan po ako na nag-te-thesis on consumer behavior towrds artificial contraceptives. I'm asking for a few minutes of your time to respond to her survey questionnaire below. And if you have additional comments regarding the issue at hand, pa-comment na lang din po. Salamat po!!! :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Joseph Paul Rubia Ramos, (again) while on the jeep on the way to sm clark(non-verbatim)me: nkakatuwa pla tignan yung mga schoolmate mo. the way they talk, think, mga ganoon. pero that concern me much. do you think pag nkpasok nga ako s masters s up clark, i should be like them??girl: ndi nman, kuya. that's just the way they are. you, too, have to be yourself too. then, sooper tanong padin ako ng mga garbage discussions till we reached sm clark. doon, s girl n yun, in case you read this one, i do appreciate the time, and please wish me luck this saturday!!! =))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Benedict Ra�oa Bismark," """"Lahat po 'yun ay ginagawa ko para sa alaala ng aking ama at lalong lalo na para naman yung mga anak ko ay maging proud na meron silang isang nanay na nagsulong ng kabutihan hindi lang para sa aming sarili pero para sa nakararami."""" (Grace Poe", TopVote 2013)Find out more. FULL INTERVIEW PLAYLIST: http://www.youtube.com/watch?v=jeNV0qx-xjo&list=PLHxt9LrAp8YjB17EqvhgU5hB3qPJh7bjOWith exclusive interviews, one on one with each senatorial candidate, we'll bring the elections to you. Get to know their insights, stories, advocacies and views on various political and economic issues to help you make the informed choice. Who is your #TOPVOTE? Supported by Rappler and the University of the Philippines (UP System),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,David Bulanhagui, UPDKahapon bago ang Bio 1 class ko, dumaan muna ako sa may parking lot sa harap ng Kamia Dorm dahil meron doong mga stall tulad ng Shawarma, Bubble Tea at kung anu2 pa. At dahil mejo inaantok ako," naghahanap ako ng something coffee-based at nakita ko nga sa isang stall na nagttinda ng mga shake at frappe ang kanilang menu na parang ganito:Frappe -Cafe MochaCaramelCappucinoCoffee SupremeSo mejo obvious nman yung ibang coffee diba? Pero nacurious talaga ako dun sa """"Coffee Supreme"""" kaya tinanong ko si kuya na nagbabantay. Ako: """"Kuya"," ano pong meron sa Coffee Supreme?""""Kuya: (nahihirapang sumagot face) """"Ano po siya sir", eh.. uhm," para po siyang supreme... na may coffee ganun"""":)))))))From serious face natawa talaga ako. Kahit habang umoorder at habang gnagawa ni kuya yung coffee supreme at iniinom ko na tumatawa pa rin ako. Si kuya nattawa na rin kasi tinatawanan ko siya.Anyway mejo accurate nman yung description niya kasi wla akong nalasahang coffee.. puro supreme lang :))) pero masarap.Yun lang.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Micah Martinez, Angle of Depression and Elevation topic sa Math 14," UPLB.Prof: (Non-verbatim) """"Alam niyo", class, may mas maganda akong explanation sa angle of depression. Kunwari nasa 2nd floor ng PhySci kayo. Tapos tumingin kayo sa baba," at nakita niyo ang boyfriend niyo na may kasamang isang babae at magkaholding hands pa sila. 'Yun ang angle of depression.""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Al Songcuan, Sa terminal ng jip sa katipunan papuntang UP Diliman..Barker: o 3 nalang UP UP UP!*may paparating na matabang babaeBarker: makikiurong lang ho isa sa kaliwa dalawa sa kanan*pagsakay nung matabang babae at pag upo sa kanan..Barker: o isa nalang UP UP aalis na!>_< gaspang lang ni kuya.. Ung mukha tuloy ni ate e parang napahiya na naiinis..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Edison Nam Pagunsan Paraiso, wala ulit magawa...post post din...naalalako lang...physics 7*, UPD(sana hindi niya mabasa toh..nakkokonsensya ako..ahaha)Magaling naman magturo si sir/maam atsaka mabait (pambawi lang).., may mga bagay lang talaga na sadyang nakakadistract ( ayos ng necktie, jologs na tuck in, chalkdust sa pants niya na pagkaramirami. ).. Pero sa lahat ng distractions na nakita ko sa kaniya, eto yung pinaka hindi ko makakalimutan..Lecture noon, tapos may sakit siya. Habang nagtuturo siya. May tumulong sipon galing sa ilong niya at sadyang pagkahabahaba nun..hindi pa naputol kahit from nose to tummy na yung haba...naglaminar flow yung uhog niya sa harap ng class.. agad naman siyang tumalikod at sinalo yung ayun nga using his bare hands...(buti na lang hindi turbulent yung flow, kung hindi magkakaroon ng ebidensya) wahaha.. i dont know kung ako lang nakakita nun..wahahaha...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Dave Eldon Olano, my first time post:Sabaw Moment:Scene: 7-Eleven counter," planning to buy strepsils..Me: (While waiting.. stares at a magazine with Sam Pinto as the cover..)Cashier: Ano yun sir?Me: SAM PINTO Cool menthol po..(what i had in mind) """"Isang Strepsils Cool Menthol po..""""Natawa nlng si kuya cashier.. Hay..What you get after reading Bio Oceanography paper.. pffttt!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Kenee Kaiser Suyo Custodio," UPD. Handouts sa Chem 125 Lab. Last part.""""There are only 10 types of people in the world: those who understand binary and those who don't.""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Rogene A. Gonzales, Alay kina Karen Empe�o, Sherlyn Cadapan, Jonas Burgos at sa lahat ng desaparecidos. Nasaan man ang inyong mga kaluluwa, kami�y patuloy na lumalaban para sa tunay na hustisiya!https://www.facebook.com/notes/rogene-a-gonzales/minsan-nawawala-ang-mga-talinhaga/10151483250429650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Angela Marie Hautea, acquaintance party namin sa apartment nangyari ang kwento ko.sa up miagao pa ako nagaaral nun, (known to be bukid/forest like campus with lots of nakakakilabot places) yung apartment namin situated before the tulay kung saan may nahulog na jeep kung san namatay yung driver at sinasabi ng mga tao na may naninirahan na kakaibang nilalang dun. after ng tulay ay ang dorm area kung saan nagsstay friends namin.kalagitnaan ng party ay nagkyayaan kami ng friends ko pumunta sa dorm area. since medyo nakainom ng konti ay tinuloy namin ang plano given na takot kami dumaan sa tulay na yun lalu pa't gabi at lalakarin lang namin.habang naglalakad..... may mga narinig kaming sounds na nakakatakot pero di namin pinansin masyado..nasatulay na kami banda at biglang sumigaw na ako dahil sa sobrang takot.. nagulat lahat ng mga kasama ko at nagtakbuhan na kami pabalik sa apartment.yung isa namin kasama na sobrang healthy ay tumakbo din kaya lang nag ala cinderella dahil naiwan yung isa nyang tsinelas. sumigaw sya: wait antayin nyo ako!!!!!!akala namin ay babalikan nya ang tsinelas nya na naiwan pero hindi pala...INIWAN NYA NA DIN ANG ISA NYANG TSINELAS AT TUMAKBO PABALIK NG APARTMENT!tawa kami ng tawa pero tama nga naman haha dahil sobrang healthy na sya, magiging pampabigat lang ang tsinelas.. lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Paolo Rommel Sanchez, UPLB: Para sa bonus, lahat ay gagawin. Hehe.Cosplay exam. :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Bam Badrina, OF palang ako non, mukha na kong banga. Lagi akong napapagkamalan na graduating kaya medyo madali ang magpre-rog. Anyway, lagi nalang ako tinatanong ng mga kaklase / instructor / tropapips / orgmates ko kung graduating na nga daw ako. Nong 3rd year ako, tatawa-tawa lang ako kasi keber ko naman sa tanong nila wit pa naman talaga ang pag graduate ko. Aba, nung kinalaunan, naka 4 na taon na ko sa elbi, 4.5 years, 5 years na nagaaral," tuwing nalang tinatanong ako parang buryot na buryot na ako na para bang may magandang idudulot sa buhay nila ang pagtatanong sa akin kung gagraduate na ba ako.para bang gaganda ang ekonomiya ng pilipinas pag nasagot ko iyon ng """"oo"""". One time", di ko na napigilan. Tinanong ako ng tropa ko. (Sana di ako ma-iban dito. Haha.)Tropang aligaga: Uy tol! Musta?Ako: Eto, pa-keme keme lang.Tropang aligaga: (at tinanong niya nga ang pinaka masaklap na tanong sa 5 taon kong pagaaral sa elbi) graduating ka na ba this sem?Ako: (di na nakapag pigil) P. INANG YAN! PI! PI!! P-----INNNNNAAAAAAAA!!!!!!!!!!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Patrick Leogo, Physics 71 Class. 2nd sem. AY 2010-11Di ko sure kung nangyari ba to before or after Christmas break.NonverbatimInstructor: Class, sorry for being absent yesterday. Pagod and napuyat kasi ako sa Christmas party na pinuntahan ko. Nanalo pa nga ng *nakalimutan ko na, isang sakong bigas ata haha* sa isang game kahapon eh. Alam niyo naman siguro yung pinoy henyo diba?Class: Opo.Instructor: Ayun. Dalawa lang naman kasi ang requirement sa game na yun. Yung isa pinoy tapos yung isa... *smiles*Class: Weh. *laughs*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Grace Bebis, Dahil Patapos na ang sem, UPV. 2006. Transferee ako from other univ. At bata pa lang ako, pangarap ko ng mag aral sa U.P. Unfortunately, d ako nakapasa sa UPCAT so I tried my best para makapagtransfer.Lumabas na ang mga grades thru CRS. At ako, parang gumuho lahat ng pangarap ko ng makita ko grade ko sa MATH 17. Nagtext ako sa kuya ko...Me: Huhuhu. 5.0 grade ko sa Math 17.Kuya: Congratulations! You are now a CERTIFIED U.P Student.. Hahaha..Nakahabol naman ako. I graduated on time... :-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Alexis Cruz, Me: May animal symbolism ba ang UP Fighting Maroons?Ate Jhad: Wala, ewan. CENTIPEDE. HahahaMe: ????(THE F***! ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Jenelyn Caniedo, At dahil eto na naman ang feeling of extreme sleepiness (kahit di pa pwede dahil may mga dapat pang tapusin), naalala ko lang ang isang pangyayari nitong nakaraang linggo.Dahil kelangan ng reflection sa isang subject ko, type type nman ako kahit madaling araw na at kahit sobrang inaantok na talaga ako. Parang paulit-ulit na rin natatype ko dahil di na gumagana nang mabuti utak ko. Di ko namalayan, nahila ako ng antok at paggising ko after ilang minutes lang siguro, WAAH!! eto ang nabasa ko sa paper ko:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Francis Vesagas, 102 lab classmate: (kakatapos lang ng class, habang binabalot at spinespray angpusa) Kung 'di ako magiging doktor, at least alam kong kaya kong maging embalsamador.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Albert Valencia, Tatay: Hoy albert, pag hindi ka gumraduate ngayong sem 'wag mo na ako tatawaging tatay kahit kelan.Pagdating ng April..Tatay: Oh anak, kamusta? gagraduate ka?Albert: Ha? Nako pare, hindi eh. <sino dyan ang nangangambang ganito ang magiging eksena ng buhay nila pagdating ng april? haha>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Teesh Leigh, Naalala ko lang nung sophomore ako..Kumain kami sa Jollibee kasama ng friends ko nun. Dahil madami kami, may lumapit na lang na crew sa table namin para kunin yung orders. After a few minutes, nagsimula nang dumating yung mga pagkain. Tapos, may dinalang food yung isang ate for Ms. Ana daw na ipinagtaka namin dahil wala naman kaming kasamang Ana. Hanggang sa lahat ng kasama ko, may pagkain na at ako na lang yung wala. YUN PALA, AKO SI ANA!Yun nga pala yung ginagamit kong code name kasi kahit ang simple ng pangalan ko," marami pa ring nagkakamali kaya """"Ana"""" ang napili kong pangalan. Malas nga lang dahil hindi pa nakondisyon yung utak ko noon pero ngayon", automatic na na ako si Ana sa fastfood chains at kahit saan pang establishment na itinatanong ang pangalan. XD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Le-an Lai Angeles Lacaba, It was a rainy Monday sa UPVTC when nagpapakasenti mode ako habang nagklaklase. When I looked at the windows, parang sign siya na tama na magpakasenti. Hahaha! DM 03 Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Chrystal Kaharian, Hi fellow Iskolars! Pwede humingi ng favor? This would really take your time kasi super haba ng survey na 'to pero mag-eenjoy naman kayo sa pagsagot (I hope. Haha). I'm a Lingg major and I need it for Kas114 class. The survey's about relationships. I need as many respondents as possible. Thank you! :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Bernard Gatus, When you blink, the Oblation keeps sending you back in time so you can't graduate.- Nicole Santoshttps://www.facebook.com/photo.php?fbid=10200370382678971&set=a.1124763596095.2019845.1137282653&type=1&comment_id=3341101&ref=notif&notif_t=photo_comment&theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
