58,joyceinheels, To those who'd like to watch the 2nd #PiliPinasDebates again: https://t.co/J5K7pIp1UF#SolusyonNiMar,,,,,,,,,
59,hazelann2908, Just wondering... kamusta na kaya yung interpreter ng debate kahapon? Haha. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>#PiliPinasDebates #BilangPilipino #News5Philippines,,,,,,,,,
60,jamesnats, Excited for the #PiliPinasDebates Vice Presidential Edition! #LeniforVP #LeniismyVP,,,,,,,,,
61,TheFreemanNews," """"Noong nasa stage na ako doon ko na lang nalaman na bawal magdala ng dokumento."""" - Binay on #PiliPinasDebates yest https://t.co/RxvMybNepl",,,,,,,,,
62,MarkLynde, HAHAHAHA BUANG JUD NING MGA TAO KARUN <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4>Musical.y Pa More HAHAHAH <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4>#PilipinasDebates#SecondRound https://t.co/YbvDpsyDMO,,,,,,,,,
63,nurzghel, My husband said, Ginaha,"ki Duterte k baya mgboto...""""am getting each and every point!#TAMASIDUTERTE#PiliPinasDebates",,,,,,,
64,iamrealjoven, #Halalan2016 #Pilipinasdebates Who is ur bet to preside our country? Share your thoughts https://t.co/WyJuODlFTt,,,,,,,,,
65,mvryvntoinette, One time for Luchi for keeping her shit together hahahaha #pilipinasdebates #pilipinas,,,,,,,,,
66,annlessss, For those who didn't catch The #PiliPinasDebates live last night you'll catch a replay tonight after PBA games.@eyuris,,,,,,,,,
67,Am2x_Buising, Kawawa Man Si Luchi Cruz Valdez Kagabi.Kapagal Kaya Sing Trabaho Nya. <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4>#PilipinasDebates,,,,,,,,,
68,ithrusthard, Grace Poe's inexperience is obvious. Too bad many people are still not seeing it.Binay,Duterte,Roxas have all exposed her.#PiliPinasDebates,,,,,,,
69,ithrusthard, Duterte: first 3 things you would do if u wake up 2 of our ships were bombed by China Poe : blah blah bleh #PiliPinasDebates,,,,,,,,,
70,BassJhea, Nakakalungkot Lang kc and kp napanood ung #PILIPINASDEBATES kahapon :(,,,,,,,,,
71,cessaguilar_, Team replay sa PiliPinasDebates. Di ko palalagpasin to -.-,,,,,,,,,
72,quen_james25, The PiliPinasDebates is a great debate. But Roxas and Binay is not for the president. Maybe one on Duterte or Poe #PHVotePoe #PHVoteDuterte,,,,,,,,,
73,MeAndMyKamera, Imagine the Interpreter's name was Manny and he's being interviewed like this after the #PilipinasDebates https://t.co/UWYt5lwHyv,,,,,,,,,
74,lilaysnhj, Replay #PiliPinasDebates,,,,,,,,,
75,LotusCorey," Grace Poe: """"Mahina at bulok ang Coast Guard"""". Grabe sya o.#PilipinasDebates",,,,,,,,,
76,appleLiiicious, Watching the replay of the 2nd #PilipinasDebates and i'm laughing like an idiot. hahahaaha,,,,,,,,,
77,LotusCorey, Nakakatawa si Mayor Duterte during the debates. Yun lang. Pang comedy relief. No substance.#PilipinasDebates,,,,,,,,,
78,sheedarzsheen, Nakpag update na ba #PrettyWhoMan si Mare @hopia_buko ?! Na PilipinasDebates tayo mga sibs <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,,,,,,,,,
79,glen_sapal, Kinsay wala ka kita sa #PILIPINASdebates???? ;)Now downloading yeheey!!!!!!!Watch here <U+2192>Glendoi<U+2190>,,,,,,,,,
80,LotusCorey," Palitan na lang ng """"B"""" yung """"J"""" ni Binay. """"Bobo"""" Binay", bagay ba?#PilipinasDebates,,,,,,,,
81,RogramJr, My FB is all about the #PilipinasDebates still. Move on na tayo guys. #HeloMonday,,,,,,,,,
82,SarahGatch, Now watching 2nd presidential debate #latewatching #pilipinasdebates,,,,,,,,,
83,_gagobai, Basta kay looy si binay kay gi banatan.. mao na kawat pa more!#PilipinasDebates,,,,,,,,,
84,chuan_sheila, And the winner is... Rodrigo Duterte! The right man for President! #TamaSiDuterte #PiliPinasDebates #PHVoteDuterte https://t.co/ce4GdjiBRy,,,,,,,,,
85,TisCharmedLife, Just finished watching #PilipinasDebates Round 2. Bit impressed with Sen. Poe whilst extremely disgusted with... https://t.co/xVX2KCqrBq,,,,,,,,,
86,LotusCorey," Ms Poe displays """"grace"""" under fire", beats Binay to a bloody pulp.#PilipinasDebates,,,,,,,,
87,msnph, #Binay vs. #Poe most tweeted moment in 2nd #PiliPinasDebates | https://t.co/FadKixfO0c @VPJojoBinay @SenGracePOE https://t.co/ePbajEVdj7,,,,,,,,,
88,TheaLisondrazxc, Ngayon ko lang napanuod yung PiliPinasDebates. Bastos pala sumagot si Grace Poe hahahah hindi naman nya time epal... https://t.co/1fBJsssUZp,,,,,,,,,
89,supremecortes, Topic changes everywhere. #PiliPinasDebates,,,,,,,,,
90,yvoteph, Earlier during the PilipinasDebates 2016, the young people of Cebuano used the CHANGE Scorecard of the YouthVote... https://t.co/M4sK683sEz,,,,,,,,
91,CervaKristine, Go to Facebook and you'll witness the shallowness of people about PiliPinasDebates.,,,,,,,,,
92,itsmerenzviray, I'm fine with all the Presidential candidates just not with Binay... #NoToBinay #NoToCorruption #Pilipinasdebates,,,,,,,,,
93,sheunille_oh, Mar can't be a winner, both in debates and in polls. #PiliPinasDebates #NoToMar #BilangPilipino,,,,,,,,
94,Bana_INA, For the first time of the world https://t.co/zFk9tsGnNH cek it,join and get 20$ ,invite and get earn again #PiliPinasDebates #RioAusGP2016,,,,,,,
95,ryangillego, @gmanetwork led #PiliPinasDebates pale in comparison w/ @TV5manila's action-packed ed. Pressure's on @ABSCBN to sustain if not top this one!,,,,,,,,,
96,thirdiepalma, <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>#PilipinasDebates #PresidentialDebate #WhereIsMiriam #Miriam2016 #MDS https://t.co/2l36T6tq6D,,,,,,,,,
97,kaizankham, #pilipinasdebates,,,,,,,,,
98,iHEARTmainecoon, Tawang tawa pa rin ako BTS ng PilipinasDebates :D,,,,,,,,,
99,andokito, After two debates, I still don't know who to vote for. #PiliPinas2016 #PiliPinasDebates,,,,,,,,
100,_gagobai, Dear binay, ay nalag react lagi kay e accuse raka nila nga Magnanakaw which is true. Haha #DoubleKill#PilipinasDebates #Du30!,,,,,,,,
101,superpam5, Shame on VP Binay's attitude during the presidential debate! NW: Pilipinasdebates 2016 Replay,,,,,,,,,
102,heyitsmarkjason, Student: Ma'am pwde open documents?Teacher: Bawal open notes!Student: but ma'am these are not notes! These r documents!#PiliPinasDebates,,,,,,,,,
103,wangparkgae, YES WE'RE TRENDING WORLDWIDE #GOT7 #FLY #FLIGHT_LOG (but omg Pilipinasdebates is also trending) https://t.co/IBIDb4oKNt,,,,,,,,,
104,katkun_, Why is pilipinasdebates.. #FLIGHT_LOG #FLY https://t.co/uWTE77tZw7,,,,,,,,,
105,_gagobai, Ang uban halos na highblood nag tinubagay pero si digong chill chill lang haha#PilipinasDebates,,,,,,,,,
106,_gagobai, Maka tawa kos debate. Wala nay respetohay.. corruption nag time haha#PilipinasDebates,,,,,,,,,
107,chuan_sheila, Duterte's great leadership will surely make the country progressive #TamaSiDuterte #PiliPinasDebates #PHVoteDuterte https://t.co/JgRIW3Whpx,,,,,,,,,
108,theonlymesteph, Di ako maka move on kanina sa #PilipinasDebates nung nag kaka gulo na sila. Yung nag sa sign language litong lito... https://t.co/dISW2AMP4y,,,,,,,,,
109,white_bite, And you say you won't condone corruption in government?!?! #pilipinasdebates2016 #pilipinasdebates #bilangpilipino https://t.co/uvbki1JeWt,,,,,,,,,
110,white_bite, Fact check. Grace Poe and the coco levy bill. #pilipinasdebates2016 #pilipinasdebates #bilangpilipino https://t.co/iScPH2CVmP,,,,,,,,,
111,godlesscortex," Ah Greenpeace! always halting progress """"Why revive the Bataan Nuclear Power Plant? https://t.co/QqaUmguSeD #PiliPinasDebates",,,,,,,,,
112,kapusoPRgirl, Panoorin ang replay ng 2nd #PilipinasDebates sa GMA News TV bukas!<U+2764><U+FE0F> https://t.co/UOHTf1cuLH,,,,,,,,,
113,mikemark3, Scorecard ko para sa Debate na itoRoxas - 4DU30 - 3Binay - 2Poe - 1#PiliPinasDebates 3/20/2016,,,,,,,,,
114,akocmako, Out of curiosity, I went ahead and watched the just concluded #PilipinasDebates at youtube after seeing random posts about it. 'Twas a JOKE!,,,,,,,,
115,aaatonytan80, @TV5manila do some contingency planning/scenario planning, of what can go wrong #pilipinasdebates,,,,,,,,
116,nepthz18, 2nd PiliPinasDebates is over :)Good night.#VotePHDuterte2016,,,,,,,,,
117,aaatonytan80, #pilipinasdebates. Ch5 should not have allowed d 3 presidentiables to stand idle, to entertain d crowd, without even offering them seats.,,,,,,,
118,Triciamocorro, Nganung wala si miram sa PiliPinasdebates?,,,,,,,,,
119,Mestiz88Yu, Chaotic #PiliPinasDebates,,,,,,,,,
120,JhaseLinH, Chill muna tayo sa #PiliPinasDebates. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Titigan nyo muna ko. https://t.co/35agbGTxty,,,,,,,,,
121,kylastaana, Yung Pilipinas debates. Galing galing <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>kawawa naman pala si binay#PilipinasDebates,,,,,,,,,
122,imbatobelieve," I am so amazed on how Luchi Cruz Valdez handled the situations and being """"energetic"""" of the presidentiables... Hands up!!! #PilipinasDebates",,,,,,,,,
123,mydesignpod, Pucha, may entourage sa stage para ipagpilitan ang gusto nya. #Brat #Binay #PilipinasDebates,,,,,,,,
124,seantdj, at this point, debates are purely for entertainment. right or wrong, pinoys are unlikely to change their minds. #PiliPinasDebates,,,,,,,
125,lennujbarrios, The reason why he is my President!<ed><U+00A0><U+00BD><ed><U+00B1><U+008A> #PHVoteDuterte #PiliPinasDebates https://t.co/NnKf7ZquG4,,,,,,,,,
126,JakeNocum, done watching #PilipinasDebates i vote for Senator Grace Poe or Mayor Duterte.,,,,,,,,,
127,chachachanel, As my brother said, we saw those who follow the rules, those who don't, and those who are lenient with them. #PiliPinas #PiliPinasDebates,,,,,,
128,ThisGirlAvril, #PiliPinasDebates #PiliPinasDebates2016 #BilangPilipino @TV5manila @Luchitweet https://t.co/8mwBlNwwlj,,,,,,,,,
129,BloomingLaOrlah, Luchi Cruz Valdez is the new Steve Harvey? #PiliPinasDebates,,,,,,,,,
130,rodamagnaye, with the woman of the hour. <ed><U+00A0><U+00BD><ed><U+00B8><U+0084>#pilipinasdebates #bilangpilipino #cebu2016 #tyl @ University ofﾅ https://t.co/bJq5kaY758,,,,,,,,,
131,Politiko_Ph, Pikon talo: Binay leaves debate in a huffhttps://t.co/MT4wy5OsXQ#PiliPinas2016#PiliPinasDebates2016 https://t.co/Bd1tWeWe3v,,,,,,,,,
132,_averyisaac, Bakit pa pinatakbo si Binay kung wala siyang alam? #PiliPinasDebates,,,,,,,,,
133,nicolecastro013, @sonzadiana Bts ng PilipinasDebates ??,,,,,,,,,
134,skateclarion, Nabuang mn tawn ning debate ron oy! Kagubot. Ug nganong di nalang jud mu-follow's rules!? #PilipinasDebates,,,,,,,,,
135,jeralduy, #PiliPinasDebatesBinay acted like a spoiled child when he did not get want he wanted.I feel sorry for Ms.... https://t.co/MNKOuOsily,,,,,,,,,
136,_averyisaac, In a scale of 1 to Luchi, gaano ka ka-stressed? #PiliPinasDebates,,,,,,,,
137,MoreGlimor, Grabe yung debate! Lutong luto si Binay. Si Mayor Duterte cool lang :)#PilipinasDebates,,,,,,,,,
138,karensueannyao, It's like allowing just one person to open his notes during exams. #PilipinasDebates,,,,,,,,,
139,Emac_07, Grace Poe: on pointDuterte: have a pointBinay: pointlessMar roxas: Pointang ina<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>#PilipinasDebates,,,,,,,,,
140,itsmeailen, So Luchi talaga may kasalanan.. Haha.. #PilipinasDebates,,,,,,,,,
141,itsrealpats, Kasalanan mo lahat to Ms. Luchi hahaha djk lang <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><U+270C> #PilipinasDebates,,,,,,,,,
142,dregonz, Behind the scenes out takes show who is finding a resolution, looking at both sides &amp; taking charge. Only #Duterte2016 #PiliPinasDebates #fb,,,,,,,,
143,benicute08, Pano kung nagprepare ka ng index card para orals mo pero di pala pwede? #gobinay #pilipinasdebates,,,,,,,,,
144,jessicapucion, #PiliPinasDebates,,,,,,,,,
145,cgozo88, Ang daming adviser ni VP Binay. Yung tatlo wala. #sabawangutak #PilipinasDebates #Pilipinas2016 #TV5,,,,,,,,,
146,ejmariegamboa, Now look at this BTS who's acting like a real leader. #PiliPinasDebates,,,,,,,,,
147,Jxdenn_u,"Binay for sure mag bababa ung ratings mo binay. #PilipinasDebates
honeybbyyy, #PilipinasDebates rewind
RanaKatrina, Kung ikaw ang presidente, kakasuhan mo ba si pinoy dahil unconstituional ang DAP at PDAP #PiliPinasDebates
jstinnee, ""Can we have a good compromise here? Ah ser, wag mo na lang gamitin 'yan."" HAHAHAHA #PiliPinasDebates
mikuhatsunev01, Yung nagdala talaga ng segment is kung paano tinarayan ni binay si mar roxas <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4>#PiliPinasDebates
iammarieleila, Even Andy was entertained <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+009C> #PiliPinasDebates https://t.co/FGc04NmmYW
annixsalvs, Nag-ala stand up comedians pala sila kaya matagal nagstart yung debate. #PiliPinasDebates2016 #PiliPinasDebates
heavenjeff777, Takot talagang matalo si Mar. Where in the first place talo na sya. <ed><U+00AE><U+00B8><ed><U+00BD><U+0081><ed><U+00AE><U+00B8><ed><U+00BD><U+0081><ed><U+00AE><U+00B8><ed><U+00BD><U+0081>#PILIPINASDEBATES
iamsweetcel, Ang kulit ng ""Mga Pangyayari bago ang debate"" hahaha! #bloopers??  #PilipinasDebates
herbertxdoinog, SINO YUNG BET NIYO?#PiliPinas #PiliPinasDebates #PiliPinasDebates2016
imackyOFFICIAL, @esteeven17 #PiliPinasDebates2016 #PiliPinasDebates2016 #PiliPinasDebates2016 #PiliPinasDebates2016 #PiliPinasDebates2016 #PiliPinasDebates
SkyRhenz12, beastmode ang ate lucheeee mo!!tas ung mga presedentiables lalo na si digong prang bata..<ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4>#pilipinasdebates#bilangpilipino
ka_bino, With man of the Hour#BilangPilipino#PilipinasDebates#cebuvote2016 https://t.co/iTSfWJMyE5
USA_TINIG,#PilipinasDebates It's a shame that Sen. Santiago wasn't there",,,,,,,,,
148,jstinnee, Everybody please watch the recordings before the debate. It shows the true colours of the candidates <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> #pilipinasdebates,,,,,,,,,
149,dayansey," """"Minsan 'yung feelings ko sa 'yo parang sign language interpreter ng #PiliPinasDebates: nalilito na pero push pa rin."""" (Eval", 2016),,,,,,,,
150,jeralduy, Binay vs Mar over notes before debate - intense! #PiliPinasDebates,,,,,,,,,
151,"bingbingsoo""",#PILIPINASDEBATES <ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>,,,,,,,,,
152,hoyhoyCalooy, Medyo substandard ang paghahandle ng TV 5 sa #PilipinasDebates,,,,,,,,,
153,Judelismyname, #PilipinasDebates woooooh!,,,,,,,,,
154,KeyperJanella, Ano ba yan TV5? #PilipinasDebates,,,,,,,,,
155,barbysandy, Luchi Cruz Valdez issues her statement &amp; in behalf of TV5.Infeyr this lady owned up to their mistakePero tsk @TV5manila#PiliPinasDebates,,,,,,,,,
156,mikuhatsunev01, Yung pinagtulungan si roxas <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4>#PiliPinasDebates,,,,,,,,,
157,KheiChix, Nagalit ako s delayed start ng #PilipinasDebates pero okay na kasi nagexplain na GOV. POGI namin! Okay na po TV... https://t.co/1GpQ2olVRA,,,,,,,,,
158,iamshar0nrOse, #BehindTheScenes #PilipinasDebates watching this video made me wish that i was there live as the event unfolds. https://t.co/v3bVrNOv1j,,,,,,,,,
