"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"16","1339704759388652","Stee Sabigan",NA,"2013-03-31T16:04:27+0000","status",NA,"326350678368_10151442236398369",0,1,0
"17","1339704759388652","Stee Sabigan",NA,"2013-03-31T16:04:29+0000","status",NA,"326350678368_10151442236433369",0,1,0
"20","1098505750200418","Abigail Taaca Tapiru","2nd post
not exactly up
kanina lang
dahil di ako umuwi sa probinsya namin for holy week (dahil sa tagal ng byahe at may finals pa), i decided to spent easter at sm calamba. 
on our way
sa jeep, may katapat akong 4-6 yrs old boy with his mama. 
accidentally, nahulog yung maliit kong planner ko at nasama pa yung id w/ larnyard (kasi nakaipit dun)
may kausap sa phone yung mama...pinulot ni boy
boy: ate, sa up ka nag-aaral?
ako: yup.
boy: ate, di lagi mong nakikita yung hubad na lalaki?
ako: yup. (si oble naisip ko)
boy: O.O gwapo ba?
ako: O.O ah eh di ko alam. di ko pa nakikita ng malapitan yung mukha niya eh. nakatingala lang.
boy: (bigla na lang) yung mga tumatakbo...(tapos napataakip siya ng mukha, may narealize ata)
ako: (sa sarili, cute mo pa naman please you're a boy) aaaaah. wala pa kong nawiwitness. klase. 
boy: gwapa ka aman eh:D. dami din gwapo dun, ahihi :D
ako: -_- di ko alam sakin. gwapo ka din :D hanap ka na lang ng gwapa :D
pababa na sila
boy: :) (imagine angelic smile)

*boy, promise maraming maganda sa up. ihahanap pa kita. 
di talaga ako makaget-over sa batang yun.

simula na naman ng hellweek bukas. Kaya natin to mga isko at iska!","2013-03-31T10:19:50+0000","status",NA,"326350678368_10151441849613369",94,8,0
"21","753913941377564","Nikki Rivera","OJT hunt last year. non-verbatim :D

Me (applying in a four-star hotel in Makati): Excuse me, saan po ang HR?
Guard (medyo annoyed): Bakit?
Me: Mag-a-apply po.
Guard: Para saan?
Me: OJT po.
Guard: May recommendation [letter] ka ba?
Me: Wala po, eh...
Guard: Saang school ka?
Me: UP po.
Guard (accommodating na ung tono): Ah sige baba ka lang dyan tapos diretso ka lang....

though di rin ako kinontact ng hotel :))","2013-03-31T14:20:57+0000","status",NA,"326350678368_10151442107028369",104,0,0
"23","10206880611228723","Awit Nadera",NA,"2013-03-31T11:31:11+0000","status",NA,"326350678368_10151441909698369",0,2,0
"25","10153345765141479","Digs Celis Ambrad Salamat","tanong lang po: pag ba DOST-SEI scholar, may binabayaran pa sa UPLB (though stated sa contract na 8k lang and tuition subsidy) kase nung panahon namen, 3 500 lang ang subsidy pero wala kame binabayaran dahil DOST-SEI scholarship... ganun pa din kaya ngayun? will appreciate your comments... thanks!","2013-03-31T09:34:06+0000","status",NA,"326350678368_10151441802028369",7,8,0
"26","10153676461203999","Cher Ivy Magtoto","Usapang lovelife sa office

Officemate (di galing UP): ano ba hinahanap mo sa lalake?

Ako: di naman kailangan gwapo , swerte na lang kung oo. Matured, stable, basta may sense kausap.

Officemate: malamang dapat may utak kasi taga UP ka eh. 

Ako: owwwsss, may connect talaga ang UP sa lovelife? :)","2013-03-31T04:44:36+0000","status",NA,"326350678368_10151441609673369",87,3,0
"27","10205470450312458","Lea Sheraine Navarro","Short convo:

Me: Tara, manuod tayo ng egg hunting sa may simbahan.
Neighbor (auntie): Ayoko nga! Ibang egg ang hinahanap ko eh. (sabay tawa ng malakas)
Me: -_______- (Wuuuuuuuuttttt)

Haha! Happy Easter everyone! ^_^","2013-03-31T03:11:10+0000","status",NA,"326350678368_10151441536498369",126,8,0
"29","10154088840431520","John Simon","share lang... makibagay lng sa Easter Sunday,,,

Overheard sa neighbors...

*kinukumbinse ni kuya 1 si kuya 2 na magsabong...

Kuya 1: Ok lang yan, wla naman huli nguan... EASTERN Sunday kaya... 

**bwahahahaha!**(o.O)","2013-03-31T02:20:26+0000","status",NA,"326350678368_10151441487193369",58,6,0
"32","10207797671612202","Dennis Gonzaga","Nabasa ko ito sa Balara, matagal na: ""para po sa karagdagang impormasyon, pumunta lang po kayo sa pinakamalit na information center at wala kayong makukuhang impormasyon"". :-)","2013-03-31T04:40:46+0000","status",NA,"326350678368_10151441606383369",18,0,0
"22","1007231099348165","Adrian Crispin Sambitan","since ngayon ko lang ulit nabisita ang group na ito ...

question:

bakit UST publication ang banner photo ng group natin? :D

(la lang ... napansin lang :D )","2013-04-01T01:00:39+0000","status",NA,"326350678368_10151442906418369",51,26,0
"31","10207478180626094","Keanu Bonocan","Sa HS batch page namin, napag-usapan ang shifting sa isang post dun about UP. Nung nakita kasi namin ang primer, napansin namin na may mga kurso na may minimum CWAG para makapag-shift into that course. Eh, 'di namin alam kung ano ang CWAG, pero may nagtanong:

(part of thread; NV)

Ako: *curious about CWAG* Ano ba iyang CWAG???
Friend 1: YOLOCWAG! =))
---------------------------------------
(part of thread explaining that CWAG = College Weighted Average)
---------------------------------------
Friend 1: Ano difference ng CWAG sa weighted Average? XD
Friend 2: may swag

BENTA HAHAHAHAHAHAHAHA =)))))))))))))))))))
Random share lang. :)","2013-04-01T07:07:24+0000","status",NA,"326350678368_10151443259463369",69,8,0
"41","10204182321196845","Merck Maguddayao","Gusto nyo bang malaman ang ultimate April Fools' prank? Yung talagang mala-demonyo kung makapang-agaw trip? Here's a tip:

I-text ang nanliligaw o nagkakagusto sa iyo ng ""Hey, listen. I'm starting to like you. :(""

Tas wag magreply kung magtexbak senyo.","2013-04-01T13:13:07+0000","status",NA,"326350678368_10151443556653369",79,16,0
"51","1057802304281046","Amor A. Landicho","me: oyy, sali ka na sa *insert org here*

friend: bakit naman?

me: wala lang, may crush kasi ako dun eh. HAHA

friend: GRABE KA! dati saulo mo sched ko kasi kaklase ko crushes mo tapos ngayon pinapag org mo ko dahil na naman sa crush mo! isa kang USER! at ako naman USEE!

HAHAHAHAHAHA.
may word po ba na USEE? >:)","2013-04-01T06:46:59+0000","status",NA,"326350678368_10151443246488369",416,18,0
"142","10153945907409799","Gabe Pollentes","Akala ko Overheard in UST yung page, naka-ilang back, tapos Click uli ako ha. HAHA. Happy April Fool's!","2013-04-01T08:24:37+0000","status",NA,"326350678368_10151443313878369",8,0,0
"211","1337794706237111","Hec Evangelista","may tanong ako mga fellow Tigers! hahaha
may student number bang 19xx-xxxxx-1?","2013-04-01T02:17:15+0000","status",NA,"326350678368_10151442984503369",10,9,0
"110","1226158614080292","Violet Bilbao","A Few Tips Para Makaiwas sa Gulo sa mga Lugar sa Loob, Labas, at Malapit sa UP (Gawin nating halimbawa ang UP Diliman):

1. Iwasang sumali sa away. Please.
2. Huwag magpagabi, kahit may drinking spree pa ang organization/club/fraternity/sorority/barkada niyo. Kung hindi kaya, maghatak ng mga kasama. There's strength in numbers.
3. Huwag ipakita ang mga phones sa daanan. As much as possible. Marami na tayong biktima ng holdapan.
4. Mag-ingat sa pagpunta sa ________________ (e.g. SM North Edsa). O sa _________ (e.g. Philcoa). Marami nang UP student ang nanakawan sa mga jeep at daanan papunta diyan.
5. Subukin ang tadhana at kumuha ng self-defense class bilang PE sa CRS (JUdo, Taekwondo, Self-defense, etc). Mapagbigay naman si CRS kung minsan. Di masama ang self-learned insurance.
6. At kung pinagpala ka ni CRS at ng tadhana, kung saka-sakali talagang ma-corner ka ng mga kawatan, ibigay mo na ang cellphone at pera mo. Pareho yang nababawi ulit, mga iho at iha. Pero kapag nasaksak ka ng ice pick o iniwanan ng bala sa ulo ay wala na tayong magagawa dun.

Sa ngayon eto pa lang ang ma-idadagdag ko. Feel free to add more tips. (Open po ito sa lahat ng mga taga-UP, di lang sa UPD. Also feel free to change the names of places if you like.)","2013-04-02T12:25:13+0000","status",NA,"326350678368_10151444920333369",73,5,0
"24","1242578755756981","Liz Yap Quintia",NA,"2013-04-02T14:02:34+0000","status",NA,"326350678368_10151445024278369",17,6,0
"33","10208755522196233","Albert Valencia","UPLB. 

Habang kumakain kami ng kaibigan ko sa Angel's sa may junction..

Manong: (Kausap yung tindera) bakit kaya hindi sila gumawa ng kalaban ng Angel's? Itayo nila dito sa harap. Yung puro maanghang lang yung sauce. Pangalananan nilang... Demon's. 

Kami: o.O astiiiig. then we laughed our asses off.","2013-04-02T15:19:43+0000","status",NA,"326350678368_10151445118968369",165,0,0
"42","1022290614483134","Angelika Paguirigan","Usapang tungkol sa UP with my relatives.

NV.

Tita (talking to me): Uuyy, freshie kna nxt school year sa UP, makakapanood kana ng Oblation Run :D

Mama: (natigilan sa ginagawa tapos humarap sa akin) OBLATION RUN?! SASALI KA SA OBLATION RUN?!! Freshman kapa lang,babae kapa naman,*insert tloy tloy na intense sermon here* hindi ko papayagan yun!

Ako at tita: O___O 

Mama: oh bakit?!

Ako: hala mama, sasali agad? Hindi ba pwedeng manunuod lang? Manunuod lang ako.

Mama: *phew* akala ko naman.... Manunuod lang pala.. Ang OA ko tuloy *pheew*

Ako at c Tita: WAHAHAHAHA!!!!!!","2013-04-02T11:03:19+0000","status",NA,"326350678368_10151444858813369",123,13,0
"52","10154117740249866","Christian Ezekiel Fajardo","Alas-7 ng gabi sa may tapat ng Shopping Center.

Nag-aabang kami ng masasakyang jeep pa biyaheng MRT ng mga kaklase ko. Bukod sa aming tatlo, may mga humigit kumulang na sampu pa ang nag-aabang ng masasakyan. Tipikal na senaryo na ito sa mga ganitong oras lalo pa't nagpupuno na ang mga jeepney driver ng mga pasahero sa may tapat ng Vinzon's.

Makalipas ang tatlumpung minuto, hindi pa rin kami nakakasakay. Nauunahan din kasi kami sa pagsakay.

(NONVERBATIM) Ako: Antagal naman. Gusto niyo lakad nalang tayo uli pabalik ng Vinzon's?
Classmate 1: Babalik na naman? Dito nalang tayo mag-abang.
Classmate 2: Basta yung susunod na darating na jeep pa MRT, anuman ang mangyari kailangan na nating maunahan ang mga nag-aabang dito.

Pagkalipas ng ilang minuto, dumating na ang inaabangan naming jeep. Dahil medyo puno na, inunahan namin ang mga nag-aabang at dali-dali kaming sumakay na parang mga nakapuslit na ninja.

Pagpasok namin ng jeep, tuwang-tuwa kami dahil naunahan namin ang mga pasahero.

Pagtingin sa labas, nakita nalang namin ang isang WALANG KALAMAN-LAMANG jeep na pa biyaheng MRT kung saan KALMADONG naglalakad at sumasakay ang mga inunahan naming mga pasahero.

Gusto kong mag-tumbling sa kalawakan ng mga oras na iyon.","2013-04-02T06:01:27+0000","status",NA,"326350678368_10151444650428369",399,4,0
"71","10204470765969275","Arianne Mae Luna Magistrado","Ano naman ang masasabi nyo dito?","2013-04-02T11:24:19+0000","photo","https://www.facebook.com/gmanews/photos/a.126333131976.110480.116724526976/10151355289341977/?type=3","326350678368_10151444872058369",12,6,0
"91","10154114376384430","Kenn Erese","Math 133. UPLB. Araw ng Pagsusulit.

Kabado ako non kasi 1st exam un ng ""terror"" prof sa elbi. Pinaghandaan namin un. Kasabay pa nya yung ibang major exams. Tumahimik na kami nung nakita namin sa malayo na padating na si Prof. Pumasok si Prof na dala ang long bond papers. Hudyat na kami ay mag-eexam na.

Pinaayos nya ang upuan namin na halos apat o lima lang kada hanay. Sinabi pa nya na isa-isa nyang titignan ang inilabas naming bluebook; dapat blanko ang pahina ng bluebook. Nang matapos sya, sabi nya ""Practice lang"". Hindi totoo na may exam kami nung araw na yun. Ang hawak nyang long bond papers ay hand outs para sa next na lesson. Dinagdag pa nya, ""...Para mas aral kayo next week sa exam natin""

Minsan, di mo alam kung blessing nga ba ang pag-cancel ng isang exam kung nakapagpuyat ka na ng ilang araw para don. :)","2013-04-02T13:14:26+0000","status",NA,"326350678368_10151444977638369",102,3,0
"103","1226158614080292","Violet Bilbao","Tuesday, Three Years Ago...

Bagon salta pa lang ako nun sa UPD. Freshie. First Year. Habang nagkakandakarambola ang mga tao sa unang araw ng pasukan, ako noon ay naiiyak.

Naligaw kasi ako nun. Wala akong kasama kahit sino. Kahit ni isang kakilala, wala akong nakita. Mga 8am nun. 8:30 ang first class ko. Ang lugar na kinatatayuan ko nun ay ang lugar na kilala ko na ngayon bilang KATAG. Naiiyak na ako dahil 7am pa lang nasa UP na ako hinahanap ko na ung classroom ko. Isa't kalahating oras na ang lumipas, no avail.
Naglakad na ata ako nun ng ilang kilometro. Susuko na sana ako nun, napagod na sa uhaw at gutom (di pa ako kumakain ng gabihan the previous day at almusal nang araw na mismong iyon sa sobrang excitement) at uuwi na sana upang magpaturo sa tatay ko kung saan ba ang classroom namin. (Side note: taxi driver si Papa at kabisado niya ang lahat ng pasikot-sikot ng buong NCR).

Then isang anghel ang dumating in the disguise ng nanay ng isang upperclassman ko sa high school. Kasama niya din ung said upperclassman. Nagtanong ako kung saan ba ang classroom ko. Sinagot niya ako with a few words. Nakarating ako sa patutunguhan ko within less than ten minutes.

Ang sagot:

""TBA? To Be Announced yan iha. Envi Sci ano? Punta ka sa College of Science, lakad ka nang konti mula dito, diretso ka lang, tapos makikita ko ung mukhang plaza na building. Tingnan mo na lang dun.""

Lesson learned: Mga freshies ngayong taon, tandaan na ang TBA ay TO BE ANNOUNCED. wag sana kayo maligaw katulad ko.","2013-04-02T08:21:11+0000","status",NA,"326350678368_10151444741233369",152,48,0
"171","10153963537388608","Erika Potian",NA,"2013-04-02T03:56:42+0000","photo","https://www.facebook.com/photo.php?fbid=10151516435193608&set=oa.10151444521273369&type=3","326350678368_10151444521563369",17,0,2
"18","10207621164159760","Jerome James Han","2 teachers (haha, kami yun nung kasama ko) sa Chowking kahapon.

Me: Tingin mo may mga estudyante sa bowling ng SU?

She: Hmm… mukhang wala naman ngayong araw?

Me: Eh kasi baka mamaya iniisip din ng mga estudyante na tapos na PE2 ng Bowling, so baka pagpunta natin dun mamaya puno.

She: Hindi, HELL WEEK yang sila ngayon.

Kaming dalawa: BUWAHAHAHA *evil laugh* TARA!

HAHAHA! Peace guys! Fighting!","2013-04-02T02:42:15+0000","status",NA,"326350678368_10151444459793369",81,3,0
"111","10204182321196845","Merck Maguddayao","Eksenang bedazzled sa classroom crush:

Kakatapos lang ng klase at nagsitayuan na ang karamihan. Napansin mong naiwan ni crush ang panyo nya sa desk nya. Sa sobrang kaba mo na mapansin ka ng crush mo, pinulot mo yung panyo, at bigla kang napasigaw ng: ""WHO BELONGS TO THIS?""","2013-04-03T13:16:44+0000","status",NA,"326350678368_10151446373318369",322,16,0
"28","1262990207047714","Princess Dianne Villegas","Natatawa lang talaga ako sa friend/dormmate/coursemate ko.

Kahapon sa CAL FC, UP Diliman.
NV

Friend: Uy, kilala mo ba yung naka-red kanina? Ang cute nya. *smiles*

Me: Ha? Alin?

Friend: Yung nagpapaphotocopy sa taas. Taga Kalay kaya yun.

Me: Oh talaga? Hindi ko alam.

Friend: Yung palaging NAKA-SIDE VIEW!

Ilang seconds rin bago nya narealize yung sinabi nya. XD Hahaha. 
[Ang gusto nya palang sabihin ay nasa isang side lang yung hawi ng buhok ni guy.]","2013-04-03T11:23:04+0000","status",NA,"326350678368_10151446288973369",117,7,0
"34","1255230841171547","Lourd Lenno Flores","2nd sem. The day after our Chem 17 exam. Sabaw parin. Nagtitipon kaming mag.labmates para maggawa ng lab reports namin. Sumaya yung araw ko nun nang napansin kong naiwan pala sa dorm yung lab notebook ko kaya lumabas muna ako para kunin yun. Pagbalik ko ginulat nila ako:   

(Non-verbatim)
Student1: ui ano answer mo sa bonus dun sa exam?
Me: Ha? may bonus?
S1: Oo. answer ko dun H2O.
S2:H2O pala? akala ko (insert chemical formula here)?
S3: Di nga H2O yung sagot dapat.
Me:(desperado mode) Meron palang bonus?! Ba't wala akong nakita?!
s2: Nasa may dulo ng test nakasulat, sa ilalim ng ""Godbless you guys""
Me: Grabe ang tanga ko talaga! bakit hindi ko napansin yun!(insert pessimistic speech here)
S1: ui joke lang walang bonus. hahahaha
Me: Ha?
S2: Biro lang wala talagang bonus. hahahahah
Classmates: hahahahahahaha!!
Me: (""o.o) *Basag* sdghjksdfhjvgvhvbjbmnbhjukbgti!!","2013-04-03T09:37:26+0000","status",NA,"326350678368_10151446220078369",106,2,0
"53","10204187695411228","Marie Joyce Jorge","Sa jeep pauwi...

Driver: Ate kulang pa ng piso yung bayad mo.
Ako: Kuya estudyante po.
Driver: Wala nang pasok ah.
Ako: Meron pa po akong pasok. UP po.

End of conversation.","2013-04-03T10:16:18+0000","status",NA,"326350678368_10151446246548369",449,9,0
"61","965298686887331","Christine Viedella","I need help. Kelangan ko po ng titles ng 3poems, 3short stories, 3essays, and 3movies about feminism. Final requirement lang po :(","2013-04-03T13:03:01+0000","status",NA,"326350678368_10151446360648369",5,18,0
"72","1236092283085171","Kim Gonzales","Nag-apply ako para sa summer job(SPES) kanina sa munisipyo namin. NV

Me: Ma'am maga-apply po sana para sa SPES.
Ma'am: Ay nagpadeadline na kami nung March 22. Kelan ba kayo nagbakasyon?
Me: Ganun po ba, may exam pa po kasi ako sa UP nun e hanggang 23 po.
Ma'am: Ganun ba. osige. Fill up ka na lang. UP ka naman pala.

Yesss! Salamat Oble, makakapag-apply din ako :D
Habang nagfi-fill up ako ng form..

Ma'am: Math ka di ba? Turuan mo nga ako. Paano na kunin yung equation ng line. *draws line tangent to a circle*
Me: O.O panic mode, pinagbakasyon ko na din kasi utak ko kaya ngumiti-ngiti na lang ako kay Ma'am. Hahaha.
Ma'am: Mamaya na nga, tuloy mo na nga yan pinapasagot kong form. *sabay tawa*

Okaayy po. At hayun, umalis ako kaagad, di ko na pinaalala ulit yung pinapaturo nya. XD Salamat ulit UP sa suporta. :D","2013-04-03T09:15:43+0000","status",NA,"326350678368_10151446207658369",341,8,0
"131","1279453495404142","Melot Olaya","Share lang. :) 

Poetry Reading namin sa Lit125, sa UP Tacloban. Tas nun dalaw dalaw muna ako sa cubicle ng teacher namin.

Ako: Ma'am, eh anu po dapat isuot?
Teacher: Uhh, basta, yung hindi UP Attire. Uhm...you know what I mean.. ;)

Napaisip tuloy ako, meron palang UP attire? LOL","2013-04-03T04:48:10+0000","status",NA,"326350678368_10151446017753369",99,11,0
"161","10153551299316847","Ram Roy","...na....","2013-04-03T08:51:41+0000","photo","https://www.facebook.com/photo.php?fbid=10151495896621847&set=gm.10151446194098369&type=3","326350678368_10151446194098369",119,0,26
"201","10208785655537130","Geo Robrigado","Sa mga graduate na dito at nagtatrabaho na, nagkaroon na ba kayo ng realization na:

Nung college tayo, gustong gusto na nating grumaduate para kumita na ng pera. Pero nung kumikita na tayo, iniisip natin na sana estudyante pa rin tayo dahil overstressed na tayo sa work","2013-04-03T02:08:52+0000","status",NA,"326350678368_10151445870643369",96,20,0
"112","10206324797187505","Wilbur Calo","On the way to SM North:

Apat kaming magkaibigan na magkasama. For some reason (bilang mga nerd nga naman kami) pinag-usapan namin yung response ni PNoy dun sa Sabah Crisis. Tawanan kami sa pagkadamay ni Gloria Arroyo at sa conspiracy theory na behind siya sa pagpapadala ng troops. Anyway, naging sobrang sarcastic na kami we were making snide remarks like:

Bakit sa Mindanao na dumadaan ang bagyo? Kasalanan ni Gloria yun!
Bakit binawasan ng nanay ko baon ko? Kasalanan ni Gloria yun!
Bakit Heswita ang Santo Papa? Kasalanan ni Gloria yun!
Bakit hindi pa rin tayo graduating hanggang ngayon? Kasalanan ni Gloria yun!

and so on and so forth.

hanggang sa natigilan kami sa may stop light sa may university ave. Isa sa amin (at itago natin siya sa pangalang ""Christian"" haha) tumingin sa labas dun sa mga sunflowers.

""O ayan! Hindi pa rin tumutubo yung mga sunflowers! Kasalanan ni Gloria yan! Tangina! Yung Fertilizer Fund Scam mehn!""","2013-04-04T16:57:08+0000","status",NA,"326350678368_10151447957203369",304,11,0
"210","1279182122096222","Arius Raposas","1 kung tumindig pero 2 kung magdasal para maging 3 ang grade pero 4 na yata ang gagawin kung 5 ang kinalabasan nito

(Haha. Corny na poem. Kung hindi maintindihan, heto ang aking deductions ng meaning nito:
1 kung tumindig - straight at proud na tayo
2 kung magdasal - nakaluhod na figure ang two
3 ang grade - self explanatory
4 na yata ang gagawin - harakiri na figure
5 ang kinalabasan nito - reality strikes again)","2013-04-04T11:49:44+0000","status",NA,"326350678368_10151447616198369",38,6,0
"35","10201580866681484","Jem Pancho","Kanina sa Faculty Center ng UPD. Hinahanap ko ang Anthropology Department para magpasa ng final paper, as in paikot- ikot na ako, di ko pa rin masense. Sakto may papasok na prof sa room niya. Naglakas loob na ako magtanong.

Ako: Hi sir, saan po dito Anthro dept?
Prof: Iha, anong year mo na dito sa UP?
Ako: Ay, 4th year na po.
Prof: (Blank stare, sabay pasok ng room at ibinagsak ang pinto)
Ako: O_O

You're welcome sir! Nasagot talaga ng pagbagsak ng pinto ang tanong ko.
Whatizlayf. Buti nahanap ko rin ang Anthro dept, nadaanan ko na pala at hindi ko lang napansin :3 Saklap.","2013-04-04T11:33:24+0000","status",NA,"326350678368_10151447604173369",181,29,0
"54","10205348257655565","JG Ortilla","Habang naglalakad sa Main Lib, may napansin akong weird. yun pala, eto.
Siguro nahiya yung may-ari na pulutin ulit pagkalaglag. LOL","2013-04-04T11:29:03+0000","photo","https://www.facebook.com/photo.php?fbid=4406285844931&set=gm.10151447600933369&type=3","326350678368_10151447600933369",378,25,0
"62","1122715611092440","Kristine Lasac","friend1: ayos na STEFAP (ste-fap) mo?

friend2: STFAP (s-t-fap) un hind STEFAP
 HAHAHAHAHAXD  eh STEFAP 4 napanuod mo na? *ngisi*

friend1: tao lang naman ako nagkakamali -____-","2013-04-04T09:46:34+0000","status",NA,"326350678368_10151447511858369",269,17,0
"73","1172413676103945","Karlos Miguel Bautista","Haha. Ansarap lang kausap ng mga sabaw dahil sa finals week.","2013-04-04T12:46:05+0000","photo","https://www.facebook.com/photo.php?fbid=578037762208209&set=gm.10151447666128369&type=3","326350678368_10151447666128369",106,1,0
"81","1056859964373216","Gian Lee Carlo Quiban","Ate Karen: Ano na nga yung CHE? (with confidence) College of Human Economics?
Me: (napaisip) Ate, College of Home Economics kase... HAHAHAHAHA.

Kelan pa nagkaroon ng College of Human Economics sa UPD? LOL. :) Peace ate Karen. :)))","2013-04-04T11:36:53+0000","status",NA,"326350678368_10151447606483369",119,11,0
"92","1279182122096222","Arius Raposas","First attempt at posting sa Overheard at UP

(Nasa Centennial Building ng Engineering...)
guard: uy, CE ka ba?
me: ah, e hindi po.
guard: so, hindi ka UP?

Porque ba hindi na CE (college of engg), hindi na taga-UP? corny na. XDDD","2013-04-04T10:30:56+0000","status",NA,"326350678368_10151447554833369",128,6,0
"113","1289682734381846","Pam Tandang","There's always that friend who'll always say,

""Uy *insert name of friend here*! Umo-Overheard ka ah!""
I'm sure may magsasabi rin nan after ng post na 'to. :D
Just sayin'. :))))","2013-04-04T10:12:19+0000","status",NA,"326350678368_10151447535508369",70,12,0
