,from_id,from_name,message,created_time,type,link,id,likes_count,comments_count,shares_count
13,10154067282933300,Max Prado,"HELL WEEK Blues:

Sa ilang araw nang sobrang pagod at puyat, ipinangbukas ko sa door knob ng apartment ay Flash Drive.. Natulala ako for a while at inisip kung bakit ko ipinipilit na isuksok sa susian ang flash drive. The next day, hinahanap ko ang (mga) susi ko, at nakita ko ito sa basurahan.",2012-04-04T18:02:31+0000,status,NA,326350678368_10150688672723369,210,3,0
14,986998368021326,Kevin Matundan,"Hell week kabangagan

Groupmate1: Hoy tapos na ako dito sa part ko. pano ko icopy dyan sa laptop mo? may usb ka?
groupmate2: wala. pindutin mo na lang dyan ctrl+c tapos i-ctrl+v ko na lang dito

#facepalm",2012-03-21T13:32:55+0000,status,NA,326350678368_10150659963518369,434,9,0
15,10206206835633800,Ralph Dela Rosa,"Habang nag-uusap kami ng mom ko kung ano plan namin this summer.
Tinanong niya ako.
Mom: 'Di ba lahat ng hot spring sa resorts ng Los Baños, mainit?
Ako: Malamang hot spring eh. Saan ka nakakita ng malamig na hot spring? :)))",2012-04-04T11:55:12+0000,status,NA,326350678368_10150687916618369,71,14,0
16,1166250806719860,Gella Aldon,Hanggang kelan po yung elistment for Summer sa UP Manila? Thanks po! :),2012-04-04T04:15:23+0000,status,NA,326350678368_10150687223218369,0,9,0
17,10209262016290200,Merck Nickoel Rivera,"Para po sa mga nagtatanong kung paano po tanggalin ang timeline, 3simple steps

1. Go to your Profile/Timeline
2. Press Ctrl+Shift+W and Uncheck timeline.
3. Click ""Yes, I don't want to use timeline.""

ENJOY!! Hit like kung gumana na sa inyo. :D",2012-04-01T16:10:32+0000,status,NA,326350678368_10150681899153369,41,28,0
18,10201296612333900,Adrian James de Guzman,"Which is better,

Mutual Funds or Stocks?",2012-04-01T08:56:39+0000,status,NA,326350678368_10150681267888369,0,8,0
19,10207621164159800,Jerome James Han,"Lunch date ko with a sis sa org, nasa eLBi square kami, yung malapit sa Ludy's.

Ako: Oi gusto mo pa ng kanin, kuha ka lang (sa extra rice ko).
Girl: Ay sige kuya, kuha ako ng half ha.
Ako: Bakit nga pala mauubos mo na yang tubig hindi mu p iniinom iced tea mo?
Girl: Ay kuya makanin kasi ako.
Ako: Oh sure. ako nman, makanin din...

maulam...

at matubig.

oh well, matakaw ako in short.

hahaha, wagas tawa namin. :))

NAKAKALOKA MAGTHESIS.

kasunod na kwento:

Girl: Oh kuya overheard na yan!!!
Ako: OO NGA MKAPAGPOST LATER.
Girl: Ay kuya mas active ka pa nga jan kasa sa org.
Ako: Ay ayaw mo na ng kanin?

hahahahah. :)",2012-04-03T17:30:43+0000,status,NA,326350678368_10150686197443369,14,0,0
20,10208058853096600,Christine Joy Flores,"kaninang 5 am, pagkatapos naming mag edit ng video at mag dub, magpapahatid sana kaming tatlo na magkakagroup sa ""Emergency Response"" sa may gate pauwi ng dorm. ako taga women's, isang taga vetmed at taga forestry. hoping kami na ihahatid kami papuntang dorm dahil ""may"" inooffer daw ang local government ng laguna na libreng hatid for the campaign for a ""safer community"".

nung nagtanong kami kung pwede kaming ihatid sa dorm dahil may exam kami ng 9 at hoping kami na makatulog kahit saglit, ang sinabi sa amin ng tanod na taga hatid.

""ay, ate, pang emergency lang ho kami eh. wala ho kaming gasolina ngayon."" (nakangiti pa siya na nakakaasar)

groupmate: kuya, dalawa naman po yung sasakyan niyo eh.

response ni kuya: ""ay, parehong wala eh.""

nakakabwisit, sobra. nakakapanggalit, umaasa kami na makakauwi ng safe dahil ihahatid kami ng mga ""maasahang"" tauhan ng gobyerno. nakauwi kami ng friend kong taga vetmed, good thing may jeep na nun. kaso lang, yung friend kong taga forestry, sa fastfood chain na lang siya nag stay.

ito ba ang sinasabi nilang ""aksyon""? bakit hindi namin naramdaman? anong emergency ang sinasabi nila? hihintayin pa nilang may masaksak sa harapan nila bago sila tumulong? at dun sa sinasabi nilang wala silang gasolina, ""paano nila maihahatid ang taong nag aagaw buhay na sa ospital kung sakaling may mangyaring ganun""? bakit nagsstay pa sila dun sa gate kung di rin naman sila mapapakinabangan? ano to? lokohan? display? bwisit sila.

nakakagalit. :(",2012-03-23T11:58:49+0000,status,NA,326350678368_10150663899783369,164,44,0
21,10201299596289400,Prescilla Ruth Bicaldo,"Hell week. Manifestation na ng mga lutang na utak.

( after listening to a song)
Housemate1: Ang ganda ng kanta, nakakaSOS ( LSS).
Kami: Ha? *sabay hagalpak sa tawa* LSS, di SOS!

Later that day, we went out for dinner. 
Housemate2: Wuie, madilim sa daan, magdala tayo ng kaledaryo.
Kami: Hell week na nga mga kapatid.",2012-03-20T09:21:33+0000,status,NA,326350678368_10150657229223369,141,6,0
22,10201619502686700,Kevin Jason Manuel,this social arena (facebook) has made our lives so shallow. :|,2012-04-02T01:25:28+0000,status,NA,326350678368_10150682789633369,11,14,0
23,10205788530814500,Jessie John Mendoza,"Sa mga kailangan ng PHYSICS 82 ngayong summer sa UPLB,magpopost po ng petition list sa physci.salamt",2012-04-03T03:47:54+0000,status,NA,326350678368_10150684995928369,1,0,0
24,944805125588997,Franz Cube,"so it's True !
",2012-04-02T05:26:20+0000,link,http://www.interaksyon.com/infotech/uplb-website-defaced-by-algerian-hackers,326350678368_10150683082838369,1,2,1
25,10208495526522700,Rick Freewind,Login to Online Registration System -> Check Course -> Look at Free Slots -> 0 all sections -> YOU NEED THE COURSE THIS SUMMER(since you can't get it on first sem).,2012-04-02T16:45:36+0000,photo,https://www.facebook.com/photo.php?fbid=3611636286558&set=gm.10150683969643369&type=3,326350678368_10150683969643369,3,0,0
26,10206193624182300,James Relativo,"Sinong nakakuha ng PE 2 Sports Climbing THF33 ng 10:00AM to 12:15PM kay Marla Cuerdo?

hahaha",2012-04-02T03:44:28+0000,status,NA,326350678368_10150682971033369,0,1,0
27,1190517270959240,Rich Vinas,"ako at ang aking kapatid, naguusap.

A: Nakapunta ka na ba sa Kyrgyzstan?
K: Ata? yun yung malapit sa Luneta diba?
A: O.o
K: yun ba yung Quirino Grandstand?
A: HAHAHAHAHA.",2012-03-24T12:10:43+0000,status,NA,326350678368_10150665841393369,200,10,0
28,10204189383535200,Malereine Joi Moran,"Kwento ni friend sakin:
Naglalaro daw sila ng 2 nya kasama magSA ng Pinoy Henyo.

Friend: Tao ba ito
SA 1: OO!
Friend: Photosynthetic?

FAIL!!!!!!!! O.o",2012-03-20T00:56:32+0000,status,NA,326350678368_10150656565733369,182,14,0
29,10207517252002300,Rupert Ledesma,"UPLB Pips, the main site has been hacked by the Algerians, sinearch ko ung name nila sa web, Hacker nga sila. April Fools ba toh??",2012-04-01T14:59:12+0000,status,NA,326350678368_10150681779058369,1,1,0
30,10207397226383000,Fort Epoy,"Isang gabi sa kalye sa may Demarses, malapit sa Sta. Fe, may napakinggan kaming nag-aaway na mag-gf ng bigla na lang sumigaw yung lalaki ng ""magnanakaw!"" Palabas na kami ng mga housemates ko para tingnan kung ano ang nangyayari ng biglang sumigaw ulit ung lalaki ""magnanakaw ng puso!""

sweet",2012-03-14T09:25:04+0000,status,NA,326350678368_10150644436943369,305,6,0
31,1146225752054380,Brylle Latorre,NA,2012-03-31T14:58:14+0000,link,http://www.youtube.com/watch?v=pxlPVSAnWOo,326350678368_10150679763418369,0,0,0
32,10154001790905800,Day Manzanilla-Bautista,Para sa lahat ng magsisipagtapos!,2012-03-31T05:05:53+0000,status,NA,326350678368_10150679016948369,0,0,0
33,10153393292456600,Ivan Stewart Baco Saldajeno,Quarterfinalist Level: ASIAN!!!!!,2012-03-31T03:34:47+0000,link,http://www.abs-cbnnews.com/global-filipino/03/30/12/only-asian-university-mock-court-tilt,326350678368_10150678892658369,36,0,1
34,10205677647809500,Christian Allen Taleon,Kung bibigyan ka ng pagkakataon na magsagawa ng isang weird na research project ano yon???,2012-03-27T03:28:44+0000,status,NA,326350678368_10150671054048369,2,22,0
35,10208315850321500,Carol Pascual-Lopez,"EARTH HOUR TONIGHT, March 31, 8:30PM. Let's do ""it"" in the dark for an hour.",2012-03-30T23:04:14+0000,video,http://www.youtube.com/watch?v=FovYv8vf5_E,326350678368_10150678590673369,1,0,1
36,1208845459128220,Mayveline Lapuz,"Yung feeling na sa sobrang hirap ng MAJOR SUBJECT mo, Kahit tres lang grade mo mapapasayaw ka na sa tuwa.

HEHE",2012-03-26T01:48:09+0000,status,NA,326350678368_10150668907733369,101,5,0
37,10207621164159800,Jerome James Han,"Nag-eedit ako ng thesis habang nanunuod ng Walang Hanggan. Nung patalastas inilipat ko sa Legacy.

Alexandra de Rossi: Anu Mom? Gogogo na ba?
Maritoni Fernandez: Oo naman noh!! Gustong gusto ko nang kumain sa kanolang BOO-FET!
Alex: Mom!!!!! Hindi BOO-FET ang tawag don! BU-PEY.

hahaha twa ako ng twa. Tamang timpla lang after 3days ng editing. :)
Sa mga nagtithesis lalo na sa UPLB, kamusta? Napahardbound niyo na? Ako hindi pa. :))",2012-03-30T12:32:01+0000,status,NA,326350678368_10150677630503369,8,0,0
38,10153338517701700,Lizamarie Campoamor Olegario,Looking for Math Trainer for summer for seven Tuesdays 2-4pm starting April 10. Objective: To prepare the child for competition. Message me if interested.,2012-03-28T12:54:26+0000,status,NA,326350678368_10150673538578369,0,7,0
39,10206167106436800,Dimpy Jazmines,hi up diliman peeps... minsan nag-jojog ako sa up diliman oval.  totoo bang no entry na ba ngayon ang university road sa mga cars na walang up id and sticker?,2012-03-28T15:45:59+0000,status,NA,326350678368_10150673810678369,0,16,0
40,10153687880434000,James Philip Pellosis,Buti nalang hind pa ganito sa UP...,2012-03-29T18:23:53+0000,link,http://nendogamer.wordpress.com/2012/03/29/special-note-mapua-is-finished-the-glorious-school-is-no-more-that-but-a-mere-shadow-of-its-reputation/,326350678368_10150676025588369,0,2,0
41,10207762257286000,Cocoy Danipog,"Found: Wallet (may tatak na esprit sa labas) may laman na about P500.00. Found on a Toki Jeep last march 9, 2012, Fri. Please share.",2012-03-29T14:49:17+0000,photo,https://www.facebook.com/photo.php?fbid=3329970059686&set=gm.10150675686018369&type=3,326350678368_10150675686018369,12,8,0
42,10206026152158300,Clara Buenconsejo,"PUBLIC SERVICE ANNOUNCEMENT for CAL Batch 2010: Guys, magbayad na ang hindi pa nagbabayad sa yearbook - andito yung list ng mga hindi pa bayad (yung naka-green, nakabayad na). Ayaw kasing i-release ng printer unless bayad lahat (bawal ang partial), kaya kelangan makabayad na ang lahat. 1/4 pa lang daw ang nababayaran. Tengks.",2012-03-29T09:57:42+0000,link,https://docs.google.com/spreadsheet/ccc?key=0AjgxNGa3tQa1dEJUelJhQjFIeGhxc3B6eGpkT3J1a2c&pli=1#gid=0,326350678368_10150675303233369,0,1,0
43,10206193624182300,James Relativo,"Rockers ka ba? O talagang mahilig ka lang makinig ng rock from time to time?

Isko at Iska! Patulong naman pasagutan tong survey ko para sa paper ko sa Kasaysayan 114! Gumagawa ako ng papel tungkol sa history ng rockscene sa Pinas eh.

(I highly encourage females to answer this, kulang pa kasi yung respondents ko na girls)

\m/ Salamat!",2012-03-29T00:06:17+0000,link,https://docs.google.com/spreadsheet/formResponse?formkey=dFZGb2dtQUloeC02ZDNpN19vaUd0SHc6MQ&theme=0AX42CRMsmRFbUy1iODQwMzFlYi1iZjJhLTRmNmUtODQ0My1iNjJmYTUzNjQ2ZWE&ifq,326350678368_10150674594963369,1,0,0
44,10153963575557300,Jelle Malimata,"Hello there! Here are pictures of Project Bata, Magbasa Ka! last March 17. We donated these shelves to White Cross Children's Home for their library. Now, all that's left to do is fill them up with books.:D PM or text me if you want to donate (09264640264). Thanks! <3",2012-03-28T09:31:25+0000,status,NA,326350678368_10150673294043369,1,0,0
45,10156556583015600,Ithran Kho,"Be a part in bringing back hope to the Philippines!
Watch and share.
",2012-03-27T12:19:11+0000,video,http://www.youtube.com/watch?v=ofQkzdMH42Y,326350678368_10150671596768369,4,0,0
46,10153436694503000,Virden Azarraga,"BE CAREFUL WITH YOUR PHOTOS ESPECIALLY WITH ""DERIVATIVE WORKS"" WITHOUT PERMISSION OF OWNER!!!... The creator of the photograph, i.e. the photographer, usually holds the copyright to the photo and, unless they’ve expressly given permission for its use, making a painting based on a photo would infringe the photographer’s copyright. In terms of US copyright law: “Only the owner of copyright in a work has the right to prepare, or to authorize someone else to create, a new version of that work.” You may be able to obtain permission to use a photo for a derivative work from the photographer, or if you’re using a photo library, buy the right to use it.
Copyright protection is automatic, and no symbol is required. For Artistic works (such as paintings, drawings, cartoons, sculpture, craft work, photographs, maps and plans), copyright lasts from the time the material is created until 50 years after the year of the creator’s death. (source: http://www.photo.net.ph/blogalicious/copyright2/who-owns-the-copyright-artwork-photography-and-derivative-works/)",2012-03-27T01:33:04+0000,link,http://www.photo.net.ph/blogalicious/copyright2/who-owns-the-copyright-artwork-photography-and-derivative-works/,326350678368_10150670893428369,1,0,0
47,10209318992202500,Joanne Marie Talaue Panangui,"Friend1: Dito ako grocery. May ipapabili ka ba?

Friend: Chuckie.

Friend1: Anong flavor?

Friend2: (O_o wuuuuut?)",2012-03-23T09:04:08+0000,status,NA,326350678368_10150663719608369,110,7,0
48,10153524565017100,Meilyn Ip,"Hi everyone! Please please help me by answering this survey. Thanks! :)

",2012-03-26T09:11:38+0000,link,https://docs.google.com/spreadsheet/viewform?formkey=dERmd3FjMmpzbWRBOEdfVlNHd195MlE6MQ#gid=0,326350678368_10150669372538369,0,3,0
49,10206147470630800,Rye Castillo,"alam mo ba na ang pag-ibig ko sayo ay nasa kabilang classroom?!

kasi ibang klase..",2012-03-26T09:41:45+0000,status,NA,326350678368_10150669400943369,30,0,0
50,10206009123295000,Jannelle Casanova,"Hello! Alam nyo po ba ang ibig sabihin ng ""Bubble Nitrogen through the system""? Ano po ang ibang term non? :)",2012-03-25T10:23:27+0000,status,NA,326350678368_10150667562638369,0,12,0
51,1170385729639800,Oliver R. Gomez,"Sino sa inyo me kakilala nagtatrabaho sa Consolidated Foods Corporation (under yata 'to ng Universal Robina)? Pakisabi sa kanila, ibalik nila sa market ang PRESTO TIVOLI! Waaaahhhh!!!",2012-03-24T16:21:02+0000,status,NA,326350678368_10150666180723369,6,8,0
52,1278189305541810,Jonjon R. Salamanca,"HS friends at ako, nag-uusap...
ako: paano kaya naging green ung incredible hulk?
hs friend1: oh! edi panuorin mo ulit...
ako: hmmm, wla akong kopya...
hs friend1 tinawag si hs friend 2...
hs friend 1: oy! may cd ka ba nung INCREDIBLE HUNK?!
...
hunk? as in hunk?!",2012-03-25T17:05:25+0000,status,NA,326350678368_10150668109973369,33,0,0
53,808087585963048,Kuya Aron,"BIBLE PREDICTED THE LAND OF ISRAEL WILL TURN FROM A BARREN LAND INTO A FRUITFUL LAND:
   ""He shall cause them that come of Jacob to take root: Israel shall blossom and bud, and fill the face of the world with fruit"" (Isaiah 27:6)
     Israel, which was largely a barren land for centuries before the return of the Jews, literally blossomed. Today, she is the third largest fruit-exporting country in the world. Even from satellite, one can see the greenery of Israel in stark contrast to the vast barrenness of her neighbors.",2012-03-25T12:37:45+0000,status,NA,326350678368_10150667708818369,8,2,0
54,1025920847447340,Bizz Powerrs,"NEVER EVER RIDE THIS BUS LINE - Safeway Bus Line. Plate # TXG-430 
Safeway Bus Line, Inc. 

March 24, 2012.

My friend and I was going to UP Technohub for our 6am work, coming from SM Fairview. We rode the Safeway Bus Maroon, with Plate#TXG-430 for the first time with the hope na makakarating kami before our schedule kasi its 5am na. madilim pa and etong bus na ito, humaharurot talaga along commonwalth avenue, bahala na si Batman sa amin sa mga pasahero sa loob ng bus. Bangag ata si Man[gago]ong driver.

Habang nagbabayad kami ng pamasahe, sabi ni Manong Konduktor, hindi daw sila nagbababa sa UP Technohub. So sa Philcoa daw kami ibababa. Huh? 
KAILAN PA NAGKAROON NG GANOONG POLISIYA ANG MGA BUS LINES NA NAGBAYAD KA NA NGA NG SOBRA SA DESTINATION MO, ILALAYO KA PA NG PAGBABA??? O KAYA DI KA IBABABA NANG TAMA??

Nanggalaiti kami ng kbigan ko dahil 10 mins walk pa yoon from Philcoao proper at delikado maglakad sa walkway from petron Philcoa to Technohub, dahil na rin sa dami ng masasamang loob. Ayaw namin pumayag, kaya todo parinig kami sa konduktor na magrereklamo kami, dahil hindi tama ang kanilang sistema. At eto opa, Kaya pala pagkasakay namin ng bus nila sa SM, paulit-ulit na sinasabi ng konduktor na ""Philcoa pinakamalapit"" - e yuon pala, parang kontrata at pinipili nila mga pasahero nila na DAPAT mga bababa ng Philcoa o MAS Malayo pa ang PWEDE LANG nilang isakay.
PATI BUS NAMIMILI?? At dahil sa pagkakaintindi namin na malapit lang ang Technohub sa Philcoa, e di sumakay na rin kami. WTF masyado ata GAHAMAN itong bus line na ito??? o si Man[gago]ong driver lang talaga?? 

Tumayo na kami ng bus, Tandang Sora pa lang, dahil OVERLOADED na naman ang gahamang bus line, for the hope na ibababa kami sa overpass ng Technohub, pero, sigawan na kami sa loob na me bababa ng overpass, etong si Man[gago]ong driver, nananadyang gumitna PA ng Comonwealth at ayun, humarurut lalo, at sa Philcoa nga kami ibinaba.

Bumaba na kami ng bus, galit na galit sa manggagantsong Man[gago]ong driver, masama ang loob at natatakot na maglakad sa madilim at delikadong daanan papuntang technohub. 
At hindi lang pala kami ang nagago ng bus line na eto, dahil sa likuran namin, me nanggagalaiting mga pasahero pa pala na bababa din pala ng Technohub na nagbantang irereklamo nila ang mali ata tiwaling sistema ng bus line na eto. 

At kaya heto, dahil sa maling ginawa ng Man[gago]ong driver sa aming mga pasahero, sana mga maireklamo ng mga kasama ko ang bus line na eto.And thru this post, sana nakatulong din ako para mabigyan hustisya ang mga commuters na katulad namin. 

Pakishare.
Bukod sa abalang naidudulot ng mga lokolokong bus drivers na ito, nailalagay din sa peligro ang kaligtasan ng mga pasahero. Makailan beses na ring nasangkot ang Safeway buses sa mga aksidente dahil sa mga abusadong driver na eto na todoo arangkada dahil sa kagahaman. halimbawa nito ang mga aksidente dahil sa mga drivers na ito na para bang paulit ulit lang? WAKE UP CALL na sana ito sa may ari ng SAFEWAY BUS na sana pakapiliin at masusing imbestigahan kung mga kwalipikado ba talaga ang mga driver nila. Isyu pa dito na baka mga adik driver nila.

Pakishare, at mag ingat / iwasan ang bus line na eto. 
We have called the LTFRB Hotline and we hope we'll have results, soon.

P.S. AT ME FANPAGE PA SILA? 
WHA!

http://www.facebook.com/pages/Safeway-Bus-Line-Inc-fanpage/229629003720693

Eto pa accidents nila before.

http://www.abs-cbnnews.com/video/nation/metro-manila/09/20/11/ltfrb-suspend-2-bus-lines%E2%80%99-fra
www.abs-cbnnews.com",2012-03-25T07:11:59+0000,link,https://www.facebook.com/Safeway-bus-lines-inc-229629003720693/,326350678368_10150667344228369,2,0,0
55,10207354667042700,Jerby Anne,"friend 1: alam mo, medyo nakalimutan ko ang depression ko nang magtext kayo. salamat
friend 2: bakit ka depressed?
friend 1: kasi feeling ko ang bobo ko sa chem, ay hindi feeling. bobo nga talaga ako sa chem :(
friend 2: oo nga! tama ka! haha

hahaha!",2012-03-20T20:35:37+0000,status,NA,326350678368_10150658367833369,55,5,0
57,10204189383535200,Malereine Joi Moran,GUYS! sino pa ang nakakaalam kung pano mabilis iseparate ang muscle ng pusa sa buto?? T.T huhuhu,2012-03-21T10:07:15+0000,status,NA,326350678368_10150659721983369,1,19,0
58,1149736861716650,Ken C Tanchuco,"From the article: ""Noynoying is simply the same as that barefaced gambit being used by faux beggars to shame someone into giving alms. The only difference is that the President is being shamed- or bullied- into giving away other people’s money. When someone tries to shame you into giving him your hard-earned money, that person does not pretend that he has any rightful claim to your money. He does not pretend to be anything but a faux beggar, a parasite, or in tagalog word: a palamunin.""
http://fvdb.wordpress.com/2012/03/23/the-ugly-politics-ideology-behind-noynoying/#comment-28141",2012-03-24T13:07:23+0000,link,http://fvdb.wordpress.com/2012/03/23/the-ugly-politics-ideology-behind-noynoying/,326350678368_10150665904148369,2,0,0
59,1014986511918750,Rowin Zapanta,"Sa PI 100 nung sat.

May quiz for one hour.
Eh may nagpasa ng maaga.

Biglang nagtayuan yung marami sa klase at ultimate laugh trip dahil marami na palang tapos at ayaw lamang magstep.",2012-03-18T16:40:51+0000,status,NA,326350678368_10150653366978369,52,6,0
60,10154802841023900,Jhoanne Ynion,"usapan namin ng brother ko about sa STAT1 FINAL EXAM:

ako: ui, may kakilala ka bang nag-STAT1 ngayong sem.
brother: oo
ako: re-post mo naman ung room assignments para sa final exam
brother: cge. di ba lahat naman nagfi-finals dun.
ako: ano ka, may exemption dun.",2012-03-24T04:33:01+0000,status,NA,326350678368_10150665362093369,10,5,0
61,10207803250337900,Jil Meg De Castro,"Classmate1: Alam mo, ang racist mo!
Classmate2: Ano? Uy, masarap yun! Raisins.
Classmate1: Tange. Racist hindi Raisins! Pero masarap nga yun!

:))))))",2012-03-24T03:04:39+0000,status,NA,326350678368_10150665260463369,25,0,0
62,10153450968453200,Donna Salve Cornes-Hipolito,"Isang gabi, busying busy ako sa kakaaral para sa final examssss nang may nagtext galing sa isang unknown number:
09***: WALANGHIYA KANG BABAE KA! MALANDI KA! TANTANAN MO ASAWA KO!

Sa buwisit at asar ko nagreply ako:
""T@&%=+@! Sino ba sa kanila asawa mo???!!!""

..ayun di na nagreply. Buwiset at punyemas! Di ko na nga mahati ang oras at katawan ko sa dami ng dapat gawin at aralin, lovelife ko nga di ko maasikaso, magagawa ko pa bang mang-agaw ng jowa ng iba!? hahahaha!",2012-03-21T14:51:29+0000,status,NA,326350678368_10150660086118369,209,10,0
63,924282624337709,Erika Navarro,"Share lang. Not overheard.

Isang hapon, may isang estudyanteng bangag at wala pang tulog (dahil hell week) ang sumakay sa isang jeep na papuntang SM North. Pauwi na kasi siya sa probinsya niya (Bulacan).

Me: *Nag-abot ng bente* Paabot po ng bayad, isang estudyante, Bulacan.
Driver: Ano?
Me: Ay, shete. Trinoma po pala. Sorry manong, sabaw ako eh.

hehe. :))",2012-03-20T13:38:13+0000,status,NA,326350678368_10150657642958369,141,3,0
64,10156661753925700,Vanessa Lasmarias,"finals sa socsci2.. hindi maintindihan ng class yung question and instructions ng prof.

student: sir! take home na lang ulit!
class: TAKE HOME! TAKE HOME! TAKE HOME!
prof: hindi pwede.. parang taxi lang yan.. nakasakay na kayo.. tumatakbo na ang metro
student: sir para!",2012-03-20T11:58:48+0000,status,NA,326350678368_10150657490618369,302,4,0
65,10153970429788900,Jenny de Vera,Watch our video and LIKE Triple Fret! Pretty please.,2012-03-23T13:42:44+0000,video,http://www.youtube.com/watch?v=DhaZQ1q87rE,326350678368_10150664061748369,6,1,0
66,10206635241893800,Leonard L. Ferrer,"may mga naririnig akong nag-usap sa gym.
guy 1: pare mag chi-cheese ako ngayon
(naisip ko naman eh baka kakain nhg keso after workout kasi rich in protein kaya magandang afterworkout food) 
guy 2: oo ako rin, mag-incline cheese din ako ngayon.
(yun pala ""Chest"" exercise yung tinutukoy nila)

isa pa
guy 1: pano ba ginagawa yung soldier press
(napaisip ako, uy military training to ah bago kailangang makita ko)
guy 2: ganto yan kuha ka barbel tapos buhatin mo patayo parang captain barbel.
(yun pala ""shoulder"" press yung tinutukoy nya.. hayy..)",2012-03-23T09:24:12+0000,status,NA,326350678368_10150663738543369,6,3,0
67,10153648904253100,Althea Prudente,"Please LIKE and SHARE the Official UP System Group Page 

http://www.facebook.com/upsystem",2012-03-23T08:50:31+0000,link,https://www.facebook.com/upsystem/,326350678368_10150663704483369,1,0,0
